,datesold,price,bedrooms
72,2007-10-16,368000,3
73,2007-10-16,385000,3
74,2007-10-17,560000,5
75,2007-10-19,455000,4
76,2007-10-19,480000,4
77,2007-10-24,300500,3
78,2007-10-24,505000,3
79,2007-10-25,135500,1
80,2007-10-25,590000,4
81,2007-10-25,645000,5
82,2007-10-25,770000,4
83,2007-10-26,1100000,5
84,2007-11-02,365000,3
85,2007-11-02,612500,4
86,2007-11-05,472500,4
87,2007-11-05,600000,5
88,2007-11-07,372500,3
89,2007-11-08,395000,3
90,2007-11-08,497000,2
91,2007-11-08,595000,4
92,2007-11-12,465000,2
93,2007-11-12,505000,4
94,2007-11-16,379000,3
95,2007-11-16,505000,3
96,2007-11-17,380000,3
97,2007-11-17,655000,4
98,2007-11-17,760000,3
99,2007-11-17,760500,3
100,2007-11-20,442500,4
101,2007-11-22,560000,4
102,2007-11-23,560000,4
103,2007-11-24,335000,3
104,2007-11-24,575000,3
105,2007-11-27,439000,3
106,2007-11-29,308000,1
107,2007-11-29,353000,3
108,2007-11-30,425000,3
109,2007-11-30,825000,3
110,2007-12-01,930000,5
111,2007-12-03,365000,3
112,2007-12-03,387000,3
113,2007-12-04,620000,4
114,2007-12-05,825000,3
115,2007-12-06,335000,3
116,2007-12-07,350000,3
117,2007-12-08,421000,3
118,2007-12-08,545000,4
119,2007-12-12,635000,4
120,2007-12-13,357500,3
121,2007-12-13,400000,4
122,2007-12-13,1105000,4
123,2007-12-14,259000,2
124,2007-12-14,437500,3
125,2007-12-15,530000,4
126,2007-12-19,630000,3
127,2007-12-20,615000,4
128,2007-12-21,332000,3
129,2007-12-21,490000,3
130,2008-01-02,309000,2
131,2008-01-14,413000,3
132,2008-01-15,445000,4
133,2008-01-15,600000,4
134,2008-01-17,417500,2
135,2008-01-17,462500,4
136,2008-01-17,485000,4
137,2008-01-18,580000,4
138,2008-01-23,380000,1
139,2008-01-24,560000,4
140,2008-01-24,575000,4
141,2008-01-24,1035000,4
142,2008-01-30,485000,3
143,2008-02-01,599000,4
144,2008-02-04,349000,3
145,2008-02-07,360000,3
146,2008-02-07,375000,3
147,2008-02-07,405000,3
148,2008-02-08,395000,3
149,2008-02-09,417000,3
150,2008-02-09,560000,3
151,2008-02-09,650000,4
152,2008-02-11,416000,4
153,2008-02-12,749000,4
154,2008-02-15,575000,4
155,2008-02-15,625000,3
156,2008-02-16,610000,5
157,2008-02-19,445000,4
158,2008-02-21,655000,5
159,2008-02-23,500000,4
160,2008-02-23,515000,2
161,2008-02-23,811000,5
162,2008-02-27,590000,4
163,2008-02-27,645000,5
164,2008-02-27,730000,4
165,2008-02-29,342000,3
166,2008-02-29,471000,4
167,2008-02-29,488000,3
168,2008-03-13,646000,4
169,2008-03-14,655000,4
170,2008-03-15,580000,3
171,2008-03-19,405000,3
172,2008-03-20,695000,4
173,2008-04-09,420000,4
174,2008-04-09,503000,3
175,2008-04-10,380000,3
176,2008-04-11,334000,3
177,2008-04-11,395000,3
178,2008-04-11,467500,4
179,2008-04-14,522500,3
180,2008-04-14,635000,5
181,2008-04-14,690000,4
182,2008-04-14,780000,4
183,2008-04-15,679000,5
184,2008-04-18,467000,3
185,2008-04-21,649000,5
186,2008-04-22,675000,4
187,2008-04-23,415000,3
188,2008-04-23,445000,4
189,2008-04-24,292500,1
190,2008-04-24,450000,3
191,2008-04-29,680000,4
192,2008-04-29,950000,4
193,2008-04-30,485000,3
194,2008-05-01,640000,4
195,2008-05-02,332000,2
196,2008-05-02,622500,4
197,2008-05-02,775000,4
198,2008-05-05,575000,2
199,2008-05-05,690000,3
200,2008-05-09,465000,3
201,2008-05-12,635000,5
202,2008-05-13,307000,2
203,2008-05-14,450000,3
204,2008-05-16,442000,3
205,2008-05-16,490000,3
206,2008-05-17,865000,5
207,2008-05-19,430000,4
208,2008-05-23,444000,3
209,2008-05-27,535000,3
210,2008-05-28,542000,4
211,2008-05-30,357000,3
212,2008-06-02,429000,3
213,2008-06-02,1180000,4
214,2008-06-03,375000,4
215,2008-06-06,526000,3
216,2008-06-06,760000,3
217,2008-06-10,447250,3
218,2008-06-10,492500,3
219,2008-06-10,727500,4
220,2008-06-11,360100,4
221,2008-06-11,750000,3
222,2008-06-13,365000,3
223,2008-06-13,670000,4
224,2008-06-14,419000,4
225,2008-06-14,515000,3
226,2008-06-17,340000,3
227,2008-06-17,600000,4
228,2008-06-18,362000,4
229,2008-06-19,765000,5
230,2008-06-19,770000,4
231,2008-06-20,469000,4
232,2008-06-23,367000,3
233,2008-06-24,465000,4
234,2008-06-25,375000,3
235,2008-06-25,505000,4
236,2008-06-25,605000,3
237,2008-06-26,325000,3
238,2008-06-27,421000,3
239,2008-06-27,550000,4
240,2008-06-27,590000,4
241,2008-06-29,522500,4
242,2008-06-30,480000,2
243,2008-06-30,1165000,5
244,2008-07-01,670000,4
245,2008-07-04,375000,3
246,2008-07-07,392500,4
247,2008-07-07,445000,4
248,2008-07-08,383000,3
249,2008-07-10,418000,3
250,2008-07-10,860000,2
251,2008-07-11,418000,3
252,2008-07-11,442000,4
253,2008-07-14,360000,3
254,2008-07-14,495000,4
255,2008-07-16,468000,3
256,2008-07-16,605000,3
257,2008-07-16,1090000,4
258,2008-07-17,558000,4
259,2008-07-18,700000,3
260,2008-07-18,1300000,4
261,2008-07-19,320000,3
262,2008-07-23,415000,3
263,2008-07-23,480000,4
264,2008-07-23,553000,4
265,2008-07-23,885000,4
266,2008-07-25,370000,4
267,2008-07-26,564000,3
268,2008-07-28,365000,3
269,2008-07-29,927000,4
270,2008-07-30,360000,3
271,2008-07-30,390000,4
272,2008-07-31,440000,4
273,2008-08-01,430000,3
274,2008-08-01,595000,3
275,2008-08-04,365000,3
276,2008-08-04,585000,3
277,2008-08-04,602500,4
278,2008-08-05,359000,3
279,2008-08-05,475000,3
280,2008-08-06,315000,3
281,2008-08-06,320000,4
282,2008-08-06,325000,4
283,2008-08-06,341000,3
284,2008-08-06,540000,4
285,2008-08-07,395000,4
286,2008-08-09,370000,3
287,2008-08-09,620000,4
288,2008-08-09,631000,4
289,2008-08-11,405000,4
290,2008-08-12,548000,3
291,2008-08-13,405000,4
292,2008-08-13,420000,3
293,2008-08-13,531500,4
294,2008-08-14,350000,2
295,2008-08-15,365000,3
296,2008-08-15,375000,3
297,2008-08-15,402000,3
298,2008-08-15,420000,3
299,2008-08-15,550000,2
300,2008-08-15,585000,4
301,2008-08-18,279500,2
302,2008-08-19,330000,3
303,2008-08-19,360000,3
304,2008-08-19,370000,3
305,2008-08-20,405000,3
306,2008-08-21,395000,3
307,2008-08-21,490000,4
308,2008-08-21,530000,5
309,2008-08-21,680000,4
310,2008-08-22,495000,4
311,2008-08-22,805000,4
312,2008-08-23,630000,4
313,2008-08-25,400000,3
314,2008-08-27,345000,3
315,2008-08-27,440000,3
316,2008-08-27,510000,4
317,2008-08-28,310000,3
318,2008-08-29,370000,4
319,2008-08-29,465000,4
320,2008-08-30,342000,3
321,2008-09-01,380000,3
322,2008-09-02,345000,3
323,2008-09-02,370000,4
324,2008-09-02,495000,4
325,2008-09-02,541000,4
326,2008-09-02,1380000,5
327,2008-09-03,372000,3
328,2008-09-03,415000,3
329,2008-09-04,335000,3
330,2008-09-04,1150000,5
331,2008-09-05,387000,3
332,2008-09-05,395000,3
333,2008-09-05,400000,4
334,2008-09-05,426000,3
335,2008-09-05,552000,4
336,2008-09-08,349000,3
337,2008-09-08,360500,3
338,2008-09-08,740000,3
339,2008-09-10,371600,4
340,2008-09-11,380000,3
341,2008-09-11,450000,3
342,2008-09-12,427000,4
343,2008-09-13,477000,4
344,2008-09-13,479000,3
345,2008-09-15,321000,2
346,2008-09-15,405000,3
347,2008-09-16,357000,3
348,2008-09-16,360000,4
349,2008-09-16,365000,3
350,2008-09-16,585000,4
351,2008-09-17,343000,3
352,2008-09-17,410000,3
353,2008-09-17,420000,4
354,2008-09-17,420000,3
355,2008-09-17,720000,3
356,2008-09-17,720000,5
357,2008-09-18,320000,3
358,2008-09-18,474000,4
359,2008-09-18,860000,3
360,2008-09-19,460000,3
361,2008-09-19,592000,2
362,2008-09-19,695000,5
363,2008-09-20,346000,3
364,2008-09-22,349950,3
365,2008-09-22,355000,3
366,2008-09-22,362000,3
367,2008-09-22,373000,3
368,2008-09-22,399000,4
369,2008-09-22,422250,3
370,2008-09-22,445000,3
371,2008-09-22,475000,4
372,2008-09-22,485000,5
373,2008-09-22,560500,4
374,2008-09-22,590000,4
375,2008-09-22,595000,4
376,2008-09-22,650000,3
377,2008-09-22,660000,4
378,2008-09-22,675000,4
379,2008-09-22,685000,4
380,2008-09-22,690000,4
381,2008-09-22,975000,3
382,2008-09-23,372000,3
383,2008-09-24,437000,3
384,2008-09-25,411000,3
385,2008-09-25,450000,4
386,2008-09-25,525000,2
387,2008-09-26,312000,3
388,2008-09-26,510000,4
389,2008-09-26,707500,4
390,2008-09-26,755000,4
391,2008-09-29,380000,4
392,2008-09-29,389000,3
393,2008-09-29,415000,3
394,2008-09-29,557000,4
395,2008-09-29,585000,4
396,2008-09-29,595000,2
397,2008-09-29,875000,5
398,2008-09-30,367500,4
399,2008-09-30,372000,3
400,2008-09-30,549000,3
401,2008-09-30,575000,4
402,2008-09-30,594000,4
403,2008-09-30,662500,2
404,2008-10-01,455000,4
405,2008-10-02,390000,3
406,2008-10-03,332000,3
407,2008-10-03,380000,3
408,2008-10-03,405000,4
409,2008-10-03,460000,4
410,2008-10-07,355000,3
411,2008-10-07,473000,4
412,2008-10-07,560000,4
413,2008-10-08,347000,3
414,2008-10-08,359950,3
415,2008-10-08,1030000,3
416,2008-10-09,338500,3
417,2008-10-10,378000,3
418,2008-10-10,400000,4
419,2008-10-10,453000,4
420,2008-10-10,476600,4
421,2008-10-10,677500,4
422,2008-10-10,749950,4
423,2008-10-12,390000,3
424,2008-10-13,435000,3
425,2008-10-13,507500,4
426,2008-10-14,350000,3
427,2008-10-14,399000,3
428,2008-10-14,420000,4
429,2008-10-14,450000,3
430,2008-10-14,525000,2
431,2008-10-14,595000,4
432,2008-10-14,910000,3
433,2008-10-15,395000,3
434,2008-10-15,552500,3
435,2008-10-16,375000,3
436,2008-10-16,440000,3
437,2008-10-17,352000,3
438,2008-10-17,495000,4
439,2008-10-17,530000,4
440,2008-10-17,690000,3
441,2008-10-18,342000,2
442,2008-10-18,420000,3
443,2008-10-18,575000,3
444,2008-10-18,612000,4
445,2008-10-20,349000,3
446,2008-10-20,350000,3
447,2008-10-20,480000,4
448,2008-10-21,342000,3
449,2008-10-21,372500,4
450,2008-10-21,375000,3
451,2008-10-21,408000,4
452,2008-10-21,515000,4
453,2008-10-22,370000,3
454,2008-10-22,657500,4
455,2008-10-23,340000,3
456,2008-10-23,369000,3
457,2008-10-23,419950,3
458,2008-10-23,455000,3
459,2008-10-23,495000,4
460,2008-10-23,765000,4
461,2008-10-24,361000,3
462,2008-10-24,425000,3
463,2008-10-24,498600,4
464,2008-10-24,570000,4
465,2008-10-27,330250,3
466,2008-10-27,337000,3
467,2008-10-27,360000,3
468,2008-10-27,440000,3
469,2008-10-27,475000,4
470,2008-10-27,510000,4
471,2008-10-27,1120000,4
472,2008-10-28,340000,2
473,2008-10-28,676000,4
474,2008-10-29,420000,4
475,2008-10-30,585000,4
476,2008-10-30,720000,5
477,2008-10-31,372000,3
478,2008-10-31,395000,3
479,2008-10-31,544000,4
480,2008-10-31,581650,4
481,2008-10-31,800000,3
482,2008-11-03,330000,3
483,2008-11-03,330000,3
484,2008-11-03,350000,3
485,2008-11-03,360000,3
486,2008-11-03,424000,4
487,2008-11-03,583000,4
488,2008-11-05,359950,3
489,2008-11-05,425000,3
490,2008-11-05,475000,3
491,2008-11-05,477500,4
492,2008-11-05,1425000,3
493,2008-11-06,345000,2
494,2008-11-06,485000,3
495,2008-11-06,557500,4
496,2008-11-07,360000,3
497,2008-11-07,395000,4
498,2008-11-07,415000,4
499,2008-11-07,435000,3
500,2008-11-07,522000,4
501,2008-11-07,757500,3
502,2008-11-10,357000,3
503,2008-11-10,542000,5
504,2008-11-10,567000,4
505,2008-11-10,623700,5
506,2008-11-10,702500,4
507,2008-11-11,324000,3
508,2008-11-11,351000,3
509,2008-11-11,449000,3
510,2008-11-11,515000,4
511,2008-11-12,342500,3
512,2008-11-12,400000,3
513,2008-11-12,462000,3
514,2008-11-13,375000,3
515,2008-11-14,385000,3
516,2008-11-15,380000,3
517,2008-11-15,418000,3
518,2008-11-15,530000,2
519,2008-11-17,350000,4
520,2008-11-17,370000,3
521,2008-11-17,379000,3
522,2008-11-17,385000,3
523,2008-11-17,438000,3
524,2008-11-17,460000,4
525,2008-11-17,635000,4
526,2008-11-17,830000,4
527,2008-11-17,950000,4
528,2008-11-18,455000,4
529,2008-11-18,540000,4
530,2008-11-18,635000,3
531,2008-11-18,950000,3
532,2008-11-19,348000,3
533,2008-11-19,460000,4
534,2008-11-19,497000,4
535,2008-11-19,515000,4
536,2008-11-20,450000,3
537,2008-11-20,475000,4
538,2008-11-20,665000,4
539,2008-11-21,350000,3
540,2008-11-21,392500,3
541,2008-11-21,450000,4
542,2008-11-21,454000,3
543,2008-11-21,475000,3
544,2008-11-21,500000,4
545,2008-11-21,730000,3
546,2008-11-22,510000,4
547,2008-11-22,640000,3
548,2008-11-22,805000,4
549,2008-11-24,387000,4
550,2008-11-24,389950,3
551,2008-11-24,393000,4
552,2008-11-24,395000,3
553,2008-11-24,468500,4
554,2008-11-24,480000,3
555,2008-11-24,485000,4
556,2008-11-24,485000,4
557,2008-11-24,500000,4
558,2008-11-24,547500,4
559,2008-11-24,565000,5
560,2008-11-24,630000,3
561,2008-11-25,490000,4
562,2008-11-25,540000,5
563,2008-11-25,630000,2
564,2008-11-25,735000,5
565,2008-11-26,326000,3
566,2008-11-26,375000,2
567,2008-11-26,453000,4
568,2008-11-26,462500,4
569,2008-11-26,580000,5
570,2008-11-27,327500,3
571,2008-11-27,390000,3
572,2008-11-28,322500,3
573,2008-11-28,335000,3
574,2008-11-28,337500,3
575,2008-11-28,345000,3
576,2008-11-28,345000,3
577,2008-11-28,351000,3
578,2008-11-28,470000,3
579,2008-11-28,540000,3
580,2008-11-28,544000,4
581,2008-11-28,1095000,4
582,2008-11-28,1250000,3
583,2008-11-29,375000,3
584,2008-11-29,395000,3
585,2008-12-01,327500,3
586,2008-12-01,400000,3
587,2008-12-01,450000,3
588,2008-12-01,507500,3
589,2008-12-01,940000,4
590,2008-12-01,1050000,4
591,2008-12-02,320000,3
592,2008-12-02,349750,3
593,2008-12-02,360000,4
594,2008-12-02,410000,4
595,2008-12-02,422500,4
596,2008-12-02,464000,4
597,2008-12-02,529000,3
598,2008-12-02,557500,3
599,2008-12-03,301000,3
600,2008-12-03,320000,3
601,2008-12-03,371000,4
602,2008-12-03,374950,3
603,2008-12-03,385150,3
604,2008-12-03,399950,4
605,2008-12-03,490000,5
606,2008-12-03,512500,3
607,2008-12-03,575000,4
608,2008-12-04,340000,3
609,2008-12-04,360000,3
610,2008-12-04,420000,3
611,2008-12-04,463000,4
612,2008-12-04,470000,4
613,2008-12-04,570000,4
614,2008-12-04,680000,4
615,2008-12-05,299000,3
616,2008-12-05,309000,3
617,2008-12-05,333000,2
618,2008-12-05,430000,3
619,2008-12-05,445000,3
620,2008-12-05,455000,4
621,2008-12-05,493000,5
622,2008-12-05,505000,3
623,2008-12-05,650000,3
624,2008-12-06,378250,3
625,2008-12-06,595000,3
626,2008-12-06,600000,4
627,2008-12-06,672000,4
628,2008-12-08,314000,3
629,2008-12-08,350000,3
630,2008-12-08,355000,3
631,2008-12-08,365000,3
632,2008-12-08,431000,4
633,2008-12-08,470000,4
634,2008-12-08,525000,4
635,2008-12-08,610000,4
636,2008-12-08,855000,4
637,2008-12-09,490000,4
638,2008-12-09,540000,4
639,2008-12-09,695000,4
640,2008-12-10,335000,3
641,2008-12-10,340000,3
642,2008-12-10,385000,3
643,2008-12-10,392000,3
644,2008-12-10,420000,3
645,2008-12-10,435000,2
646,2008-12-10,435000,4
647,2008-12-10,440000,3
648,2008-12-10,480000,4
649,2008-12-10,600000,4
650,2008-12-11,520000,4
651,2008-12-12,351000,4
652,2008-12-12,355000,2
653,2008-12-12,455000,3
654,2008-12-12,470000,4
655,2008-12-12,525000,5
656,2008-12-12,665000,3
657,2008-12-12,805000,4
658,2008-12-13,775000,4
659,2008-12-15,360000,3
660,2008-12-15,373500,3
661,2008-12-15,398000,3
662,2008-12-15,405000,3
663,2008-12-15,472000,4
664,2008-12-15,505000,4
665,2008-12-15,530000,4
666,2008-12-15,625000,2
667,2008-12-16,362500,3
668,2008-12-16,413000,3
669,2008-12-16,420000,4
670,2008-12-16,520000,4
671,2008-12-16,585000,4
672,2008-12-17,378500,3
673,2008-12-17,600000,4
674,2008-12-17,720000,4
675,2008-12-18,416500,3
676,2008-12-18,420000,4
677,2008-12-18,431600,4
678,2008-12-19,339950,3
679,2008-12-19,350000,3
680,2008-12-19,380000,3
681,2008-12-19,428250,3
682,2008-12-19,439000,3
683,2008-12-19,472000,4
684,2008-12-19,499000,4
685,2008-12-19,527000,5
686,2008-12-19,550000,4
687,2008-12-19,716000,3
688,2008-12-19,900000,4
689,2008-12-20,495000,3
690,2008-12-20,540000,3
691,2008-12-20,1375000,4
692,2008-12-20,3500000,5
693,2008-12-22,379000,3
694,2008-12-22,390000,4
695,2008-12-22,399500,3
696,2008-12-22,456000,3
697,2008-12-22,490000,4
698,2008-12-22,585000,4
699,2008-12-22,630000,4
700,2008-12-22,855000,3
701,2008-12-23,355000,3
702,2008-12-23,361500,3
703,2008-12-23,381000,3
704,2008-12-23,390000,3
705,2008-12-23,395000,3
706,2008-12-23,444000,4
707,2008-12-23,450000,4
708,2008-12-23,452000,4
709,2008-12-23,480000,4
710,2008-12-23,500000,3
711,2008-12-23,571000,3
712,2008-12-24,310000,2
713,2008-12-24,369950,3
714,2008-12-24,385000,3
715,2008-12-24,394000,3
716,2008-12-24,400000,4
717,2008-12-24,400000,3
718,2008-12-24,400000,3
719,2008-12-24,400000,3
720,2008-12-24,499000,4
721,2008-12-24,1057500,4
722,2009-01-06,342500,3
723,2009-01-06,450000,4
724,2009-01-07,420000,3
725,2009-01-08,394000,3
726,2009-01-08,410000,4
727,2009-01-08,411500,3
728,2009-01-08,560000,4
729,2009-01-09,383000,3
730,2009-01-09,385000,3
731,2009-01-09,420000,2
732,2009-01-10,585000,4
733,2009-01-10,590000,4
734,2009-01-12,340500,3
735,2009-01-12,410000,3
736,2009-01-12,418000,3
737,2009-01-12,470000,4
738,2009-01-12,609950,4
739,2009-01-12,630000,4
740,2009-01-12,750000,5
741,2009-01-13,420000,3
742,2009-01-13,515000,4
743,2009-01-13,637000,4
744,2009-01-14,315000,3
745,2009-01-14,400000,3
746,2009-01-14,439000,4
747,2009-01-15,330000,3
748,2009-01-15,350000,3
749,2009-01-15,440000,3
750,2009-01-15,462500,4
751,2009-01-15,465000,2
752,2009-01-15,589000,3
753,2009-01-15,640000,4
754,2009-01-16,319950,3
755,2009-01-16,456000,3
756,2009-01-16,585000,4
757,2009-01-19,400000,3
758,2009-01-19,615000,4
759,2009-01-19,688889,4
760,2009-01-20,392000,3
761,2009-01-20,425000,3
762,2009-01-20,465000,4
763,2009-01-20,500000,3
764,2009-01-20,1150000,4
765,2009-01-21,570000,4
766,2009-01-22,308000,3
767,2009-01-22,512000,4
768,2009-01-22,575000,3
769,2009-01-23,315000,3
770,2009-01-23,317500,3
771,2009-01-23,335000,3
772,2009-01-23,360000,3
773,2009-01-23,380000,4
774,2009-01-23,394000,3
775,2009-01-23,570000,4
776,2009-01-23,890000,3
777,2009-01-27,327000,3
778,2009-01-27,350500,3
779,2009-01-27,475000,4
780,2009-01-27,750000,5
781,2009-01-27,2100000,4
782,2009-01-28,325000,3
783,2009-01-28,365000,3
784,2009-01-28,441000,4
785,2009-01-28,450000,3
786,2009-01-28,620000,4
787,2009-01-29,341000,3
788,2009-01-29,395000,3
789,2009-01-29,550000,3
790,2009-01-29,612000,4
791,2009-01-30,450000,3
792,2009-01-30,467500,3
793,2009-01-30,476000,3
794,2009-01-30,525000,4
795,2009-01-30,601000,4
796,2009-01-31,440000,3
797,2009-01-31,495000,3
798,2009-02-02,500000,5
799,2009-02-02,622500,4
800,2009-02-03,335000,2
801,2009-02-03,339000,3
802,2009-02-03,362000,3
803,2009-02-03,390000,4
804,2009-02-03,412000,3
805,2009-02-03,420000,4
806,2009-02-03,485000,2
807,2009-02-03,605000,3
808,2009-02-04,370000,3
809,2009-02-04,440000,4
810,2009-02-04,530000,4
811,2009-02-05,340000,3
812,2009-02-05,435000,4
813,2009-02-05,438000,4
814,2009-02-05,495000,4
815,2009-02-05,620000,4
816,2009-02-06,339000,3
817,2009-02-06,500000,5
818,2009-02-06,510000,4
819,2009-02-06,535000,4
820,2009-02-07,512000,3
821,2009-02-09,395000,4
822,2009-02-09,520000,4
823,2009-02-09,545000,4
824,2009-02-09,715000,4
825,2009-02-10,335000,3
826,2009-02-10,400000,3
827,2009-02-10,468000,4
828,2009-02-10,510000,4
829,2009-02-11,100000,3
830,2009-02-11,380000,3
831,2009-02-11,385000,3
832,2009-02-11,407000,3
833,2009-02-11,410000,4
834,2009-02-11,480000,4
835,2009-02-11,535000,4
836,2009-02-11,670000,4
837,2009-02-12,347500,3
838,2009-02-12,380000,3
839,2009-02-12,400000,3
840,2009-02-12,405000,4
841,2009-02-12,408000,4
842,2009-02-12,485000,4
843,2009-02-13,362000,3
844,2009-02-13,435000,4
845,2009-02-13,450000,4
846,2009-02-13,880000,4
847,2009-02-14,456000,3
848,2009-02-16,355000,3
849,2009-02-16,426500,4
850,2009-02-16,490000,4
851,2009-02-16,602000,4
852,2009-02-17,355000,3
853,2009-02-17,380000,3
854,2009-02-17,410000,4
855,2009-02-17,449000,4
856,2009-02-17,486000,4
857,2009-02-17,490000,4
858,2009-02-17,490000,3
859,2009-02-17,560000,5
860,2009-02-18,513000,4
861,2009-02-18,522000,3
862,2009-02-19,370000,3
863,2009-02-19,405000,4
864,2009-02-19,539000,5
865,2009-02-19,560000,4
866,2009-02-19,627500,3
867,2009-02-20,405000,4
868,2009-02-20,410000,3
869,2009-02-20,671000,4
870,2009-02-21,690000,4
871,2009-02-23,362000,3
872,2009-02-23,379950,3
873,2009-02-23,391000,4
874,2009-02-23,480000,4
875,2009-02-23,495000,3
876,2009-02-23,630000,4
877,2009-02-24,360000,3
878,2009-02-24,477000,4
879,2009-02-24,750000,5
880,2009-02-25,1580000,4
881,2009-02-26,390000,3
882,2009-02-26,401500,3
883,2009-02-26,440000,5
884,2009-02-26,490000,5
885,2009-02-26,580000,4
886,2009-02-26,720000,5
887,2009-02-27,476000,4
888,2009-02-28,400000,3
889,2009-03-02,460000,4
890,2009-03-02,485000,4
891,2009-03-02,505000,4
892,2009-03-02,780000,4
893,2009-03-03,283000,3
894,2009-03-03,325000,3
895,2009-03-03,360000,3
896,2009-03-03,389000,3
897,2009-03-03,395000,3
898,2009-03-03,805000,4
899,2009-03-04,347500,3
900,2009-03-04,390000,4
901,2009-03-04,390000,3
902,2009-03-04,423500,4
903,2009-03-04,430000,4
904,2009-03-04,465000,5
905,2009-03-04,484500,3
906,2009-03-05,399000,3
907,2009-03-05,501500,4
908,2009-03-05,550000,3
909,2009-03-06,309950,3
910,2009-03-06,351126,2
911,2009-03-06,425000,5
912,2009-03-06,435000,4
913,2009-03-06,447500,3
914,2009-03-06,468000,4
915,2009-03-06,560000,3
916,2009-03-06,560000,4
917,2009-03-06,608000,4
918,2009-03-06,615000,3
919,2009-03-06,620000,4
920,2009-03-07,417000,3
921,2009-03-07,454000,3
922,2009-03-10,398000,3
923,2009-03-10,435000,4
924,2009-03-10,455000,3
925,2009-03-10,475000,4
926,2009-03-10,475000,3
927,2009-03-10,478000,4
928,2009-03-10,490000,4
929,2009-03-10,647000,4
930,2009-03-10,675000,3
931,2009-03-11,308000,2
932,2009-03-11,365000,3
933,2009-03-11,376000,3
934,2009-03-11,398000,3
935,2009-03-11,550000,3
936,2009-03-11,759000,4
937,2009-03-11,759000,4
938,2009-03-12,359950,3
939,2009-03-12,375000,4
940,2009-03-12,380000,4
941,2009-03-12,440000,3
942,2009-03-12,445000,4
943,2009-03-12,480000,3
944,2009-03-12,517500,3
945,2009-03-13,295000,3
946,2009-03-13,335000,3
947,2009-03-13,353000,3
948,2009-03-13,453500,4
949,2009-03-13,715000,4
950,2009-03-13,858000,5
951,2009-03-14,500000,5
952,2009-03-16,392500,3
953,2009-03-16,397500,3
954,2009-03-16,690000,5
955,2009-03-17,352000,3
956,2009-03-17,390000,3
957,2009-03-17,420000,3
958,2009-03-17,437500,4
959,2009-03-17,461000,4
960,2009-03-17,511000,4
961,2009-03-17,515000,4
962,2009-03-17,580000,4
963,2009-03-17,1015000,4
964,2009-03-18,370000,3
965,2009-03-18,400000,3
966,2009-03-18,400100,3
967,2009-03-18,475000,4
968,2009-03-18,485000,3
969,2009-03-18,645000,4
970,2009-03-18,670000,4
971,2009-03-19,370000,3
972,2009-03-19,372000,4
973,2009-03-19,374000,3
974,2009-03-19,375000,3
975,2009-03-19,393000,4
976,2009-03-19,395000,3
977,2009-03-19,395000,3
978,2009-03-19,430000,3
979,2009-03-19,430000,3
980,2009-03-19,485000,3
981,2009-03-20,370000,3
982,2009-03-20,415000,3
983,2009-03-20,470000,4
984,2009-03-20,575000,5
985,2009-03-20,595000,3
986,2009-03-20,825000,5
987,2009-03-22,438000,4
988,2009-03-23,360000,3
989,2009-03-23,409588,4
990,2009-03-23,422000,4
991,2009-03-23,423000,3
992,2009-03-23,465000,4
993,2009-03-23,550000,4
994,2009-03-23,564500,4
995,2009-03-23,595000,4
